n  , quick sort , merge sort , heap sort , insertion sort , selection sort
0,1,1,1,0,0,
5000,1201,1248,1489,27578,54899,
10000,2616,2656,3135,106915,218452,
15000,4078,4075,5082,237568,489669,
20000,5710,5771,6734,424620,870700,
25000,7181,7288,8626,662457,1353256,
30000,8726,9263,10568,951118,1946697,
35000,10723,10296,12501,1284536,2655338,
40000,12375,11769,14488,1683431,3470661,
45000,13855,13391,16270,2134958,4402664,
50000,15736,15028,18237,2645458,5447288,
55000,17294,16687,20207,3196357,6569305,
60000,18551,18176,22516,3793310,7820242,
65000,20678,20331,24121,4461775,9163681,
70000,22538,21722,26718,5166864,10755998,
75000,24428,23392,28521,5955962,12278517,
80000,27197,24851,30486,6809752,13956075,
85000,27603,26451,33092,7785198,15724789,
90000,30044,28007,34670,8712382,17643466,
95000,31524,29921,37131,9546655,19667580,
100000,34390,32343,38743,10707884,21865388,
